,Team: Phoenix Suns,
,Nov 2005,
Gm,Date,Opponent,Score,Min,Pts,ORb,DRb,Reb,Ast,Stl,Blk,TO,PF,FGM/A,3PM/A,FTM/A,
1,Nov. 01,vs. Mavericks,L 		 108 - 1112OT,45,30,2,6,8,9,1,0,6,5,11,-,25,2,-,5,6,-,6,
2,Nov. 03,@ Lakers,W 		 122 - 112,35,12,0,6,6,17,4,0,4,3,2,-,9,1,-,4,7,-,7,
3,Nov. 05,@ Jazz,W 		 97 - 88,33,14,0,1,1,11,1,1,4,1,4,-,12,0,-,3,6,-,6,
4,Nov. 06,vs. Kings,L 		 117 - 118,31,18,0,1,1,13,0,0,4,5,7,-,12,2,-,3,2,-,2,
5,Nov. 10,vs. Pistons,L 		 104 - 111,34,18,0,0,0,8,0,0,6,2,6,-,17,1,-,4,5,-,5,
6,Nov. 12,vs. Warriors,W 		 101 - 86,37,18,0,2,2,10,3,0,2,1,7,-,14,0,-,2,4,-,4,
7,Nov. 16,vs. Grizzlies,L 		 103 - 115,37,17,0,1,1,13,3,1,4,0,6,-,11,3,-,6,2,-,2,
8,Nov. 18,vs. Jazz,W 		 102 - 94,31,6,0,4,4,10,0,0,4,1,3,-,8,0,-,2,0,-,0,
9,Nov. 19,@ Spurs,L 		 91 - 97,39,14,2,6,8,10,0,0,6,2,5,-,14,0,-,3,4,-,4,
10,Nov. 22,vs. Raptors,W 		 90 - 82,42,23,0,6,6,9,0,0,8,0,9,-,19,1,-,4,4,-,4,
11,Nov. 23,@ Rockets,W 		 100 - 88,37,15,1,1,2,14,1,0,4,0,6,-,12,1,-,3,2,-,3,
12,Nov. 25,vs. Nets,W 		 92 - 81,39,27,0,3,3,6,1,0,1,0,11,-,18,1,-,3,4,-,4,
13,Nov. 30,vs. Pacers,W 		 109 - 91,34,31,0,8,8,9,0,0,4,0,10,-,15,7,-,8,4,-,4,
