DATE,TM,OPP,SCORE,MIN,PTS,REB,AST,STL,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TS%,OREB,DREB,TOV,PF,+/-
Sat 6/3,PHX,DAL,L 93-102,42,19,6,9,1,0,7,13,53.8,1,2,50.0,4,4,100.0,64.4,0,6,3,2,-7
Thu 6/1,PHX,DAL,L 101-117,39,20,6,11,1,1,5,17,29.4,1,6,16.7,9,9,100.0,47.7,0,6,3,3,-9
Tue 5/30,PHX,DAL,W 106-86,33,21,0,7,0,1,8,13,61.5,1,1,100.0,4,4,100.0,71.1,0,0,2,1,+14
Sun 5/28,PHX,DAL,L 88-95,37,21,1,7,0,1,9,18,50.0,3,7,42.9,0,0,58.3,0,1,4,1,0,-5
Fri 5/26,PHX,DAL,L 98-105,39,16,2,11,0,0,6,10,60.0,2,2,100.0,2,3,66.7,70.7,0,2,4,4,+1
Wed 5/24,PHX,DAL,W 121-118,40,27,5,16,0,0,11,18,61.1,2,5,40.0,3,3,100.0,69.9,1,4,3,2,+6
Mon 5/22,PHX,LAC,W 127-107,38,29,2,11,1,0,11,16,68.8,4,5,80.0,3,4,75.0,81.6,0,2,4,2,+12
Thu 5/18,PHX,LAC,L 106-118,39,17,2,11,1,0,6,16,37.5,2,5,40.0,3,3,100.0,49.1,1,1,1,2,-22
Tue 5/16,PHX,LAC,W 125-118,50,17,7,13,0,2,7,17,41.2,0,5,0.0,3,3,100.0,46.4,0,7,5,4,+15
Sun 5/14,PHX,LAC,L 107-114,39,8,3,11,0,0,3,11,27.3,0,2,0.0,2,3,66.7,32.5,2,1,2,2,-2
Fri 5/12,PHX,LAC,W 94-91,43,12,3,10,1,0,3,9,33.3,0,4,0.0,6,6,100.0,51.5,0,3,4,2,+6
Wed 5/10,PHX,LAC,L 97-122,34,14,3,8,1,0,6,12,50.0,0,2,0.0,2,3,66.7,52.6,0,3,1,1,-16
Mon 5/8,PHX,LAC,W 130-123,41,31,3,12,0,0,10,15,66.7,3,5,60.0,8,9,88.9,81.8,2,1,4,3,+14
Sat 5/6,PHX,LAL,W 121-90,35,13,6,9,0,0,6,12,50.0,1,5,20.0,0,0,54.2,0,6,6,1,+35
Thu 5/4,PHX,LAL,W 126-118,46,32,2,13,0,0,9,14,64.3,1,3,33.3,13,13,100.0,81.1,0,2,3,1,+6
Tue 5/2,PHX,LAL,W 114-97,40,22,3,4,0,0,8,13,61.5,1,2,50.0,5,6,83.3,70.3,0,3,4,1,+27
Sun 4/30,PHX,LAL,L 98-99,43,22,3,11,0,0,9,22,40.9,3,8,37.5,1,2,50.0,48.1,0,3,2,0,-1
Fri 4/28,PHX,LAL,L 92-99,41,17,7,11,1,0,7,16,43.8,3,6,50.0,0,1,0.0,51.7,0,7,4,1,-11
Wed 4/26,PHX,LAL,L 93-99,40,29,7,9,1,0,10,17,58.8,2,7,28.6,7,7,100.0,72.2,2,5,6,4,+3
Sun 4/23,PHX,LAL,W 107-102,38,20,2,10,0,0,5,12,41.7,2,5,40.0,8,8,100.0,64.4,1,1,2,1,+5
Wed 4/19,PHX,POR,W 106-96,30,16,10,12,2,0,5,6,83.3,4,4,100.0,2,2,100.0,116.3,4,6,3,1,+23
Mon 4/17,PHX,NOK,W 115-78,25,12,2,6,1,0,4,7,57.1,3,3,100.0,1,2,50.0,76.1,0,2,4,2,+17
Thu 4/13,PHX,DAL,W 117-104,30,6,5,13,1,0,3,9,33.3,0,2,0.0,0,0,33.3,1,4,2,0,+25
Tue 4/11,PHX,SAC,W 123-110,30,13,4,13,1,0,6,14,42.9,1,5,20.0,0,0,46.4,1,3,2,4,+15
Sun 4/9,PHX,SEA,L 114-116,31,13,4,11,1,0,5,10,50.0,3,6,50.0,0,0,65.0,1,3,1,0,+3
Fri 4/7,PHX,LAL,W 107-96,34,25,1,8,1,0,10,17,58.8,3,8,37.5,2,2,100.0,69.9,0,1,4,1,+8
Wed 4/5,PHX,LAC,L 105-119,32,9,3,5,1,0,4,11,36.4,1,4,25.0,0,1,0.0,39.3,0,3,5,0,-17
Sun 4/2,PHX,DET,L 102-109,36,13,2,9,0,0,4,11,36.4,1,5,20.0,4,4,100.0,50.9,0,2,2,1,+1
Fri 3/31,PHX,TOR,W 140-126,34,20,3,10,1,0,7,12,58.3,5,6,83.3,1,1,100.0,80.4,0,3,2,0,+3
Thu 3/30,PHX,IND,W 114-104,35,15,8,13,0,0,6,9,66.7,1,4,25.0,2,2,100.0,75.9,0,8,4,3,+3
Tue 3/28,PHX,MIL,L 110-132,32,23,2,7,0,0,9,10,90.0,3,3,100.0,2,2,100.0,105.7,0,2,5,0,-16
Mon 3/27,PHX,NJN,L 72-110,26,0,3,5,0,2,0,5,0.0,0,1,0.0,0,0,0.0,0,3,2,2,-44
Sat 3/25,PHX,DEN,W 107-96,33,21,6,6,0,1,6,15,40.0,5,11,45.5,4,4,100.0,62.6,2,4,3,3,-10
Thu 3/23,PHX,POR,W 125-108,27,15,1,5,0,0,6,9,66.7,2,4,50.0,1,1,100.0,79.4,0,1,4,1,+23
Tue 3/21,PHX,UTA,L 99-107,36,20,6,10,2,0,8,12,66.7,2,3,66.7,2,3,66.7,75.1,0,6,2,1,-10
Fri 3/17,PHX,SAS,L 102-108,35,30,4,6,0,0,13,22,59.1,0,1,0.0,4,4,100.0,63.1,0,4,2,1,0
Wed 3/15,PHX,LAC,W 126-95,29,25,3,12,0,0,9,11,81.8,6,8,75.0,1,1,100.0,109.3,0,3,1,0,+39
Tue 3/14,PHX,SEA,W 129-120,34,23,3,8,1,1,10,16,62.5,1,3,33.3,2,2,100.0,68.1,1,2,2,1,+8
Sun 3/12,PHX,POR,L 101-111,37,13,7,16,0,0,5,9,55.6,2,4,50.0,1,2,50.0,65.8,1,6,3,1,-9
Sat 3/11,PHX,MIN,W 110-102,38,31,2,11,0,0,12,18,66.7,3,4,75.0,4,4,100.0,78.4,0,2,2,0,+8
Mon 3/6,PHX,NOK,W 101-88,26,12,2,7,2,0,5,11,45.5,1,5,20.0,1,2,50.0,50.5,1,1,2,0,+6
