Player Sort table by Player in descending order,Minutes with Steve Nash Sort table by Minutes with Steve Nash in descending order,Minutes without Steve Nash Sort table by Minutes without Steve Nash in descending order,Stat Value with Steve Nash Sort table by Stat Value with Steve Nash in descending order,Stat Value without Steve Nash Sort table by Stat Value without Steve Nash in descending order,Difference Sort table by Difference in descending order
Bo Outlaw,69,146,0.444,0.362,0.08
Jim Jackson,609,811,0.543,0.477,0.07
Walter McCarty,138,216,0.562,0.510,0.05
Shawn Marion,4854,1553,0.572,0.572,0.00
Quentin Richardson,2031,814,0.534,0.493,0.04
Jake Voskuhl,142,221,0.552,0.500,0.05
Joe Johnson,2185,1053,0.592,0.492,0.10
Steven Hunter,493,558,0.620,0.553,0.07
Paul Shirley,0,30,0.000,0.462,-0.46
Amar'e Stoudemire,2116,819,0.628,0.576,0.05
Casey Jacobsen,280,487,0.492,0.610,-0.12
Smush Parker,0,34,0.000,0.500,-0.50
Zarko Cabarkapa,0,11,0.000,0.643,-0.64
Leandro Barbosa,921,1756,0.624,0.562,0.06
Maciej Lampe,26,93,0.368,0.417,-0.05
Yuta Tabuse,0,17,0.000,0.438,-0.44
Jackson Vroman,11,45,0.000,0.444,-0.44
Brian Grant,79,169,0.417,0.474,-0.06
Kurt Thomas,1228,183,0.542,0.375,0.17
Tim Thomas,333,300,0.592,0.472,0.12
Raja Bell,2460,499,0.571,0.639,-0.07
Eddie House,374,1047,0.562,0.494,0.07
Nikoloz Tskitishvili,0,86,0.000,0.434,-0.43
Pat Burke,124,222,0.550,0.494,0.06
Boris Diaw,1946,928,0.561,0.575,-0.01
James Jones,1040,731,0.536,0.582,-0.05
Josh Davis,0,5,0.000,0.500,-0.50
Andre Barrett,0,21,0.000,0.562,-0.56
Dijon Thompson,0,42,0.000,0.540,-0.54
Sharrod Ford,0,13,0.000,0.667,-0.67
